"Contact Details","Chi tiết liên hệ"
"We couldn't remove the messages because of an error.","Chúng tôi không thể di chuyển tin nhắn vì có lỗi xảy ra."
"The message has been removed.","Thư đã được xóa."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Bạn đã xem và duyệt qua những lưu ý từ hệ thống. Xin hãy làm mới lại trang web để làm trống cảnh báo hệ thống."
"1 Hour","1 Giờ"
"2 Hours","2 Giờ"
"6 Hours","6 Giờ"
"12 Hours","12 Giờ"
"24 Hours","24 Giờ"
"critical","nghiêm trọng"
"major","chính"
"minor","nhỏ"
"notice","chú ý"
"Wrong message type","Sai loại tin nhắn"
"Wrong notification ID specified.","Sai thông báo ID."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} không được khuyến khích sử dụng trong chế độ môi trường sản phẩm để khai báo Base Unsecure URL / Base Secure URL. Chúng tôi khuyến cáo nên thay đổi giá trị này trong Magento của bạn <a href=""%1""> mục cấu hình</a>."
"One or more of the Cache Types are invalidated: %1. ","Một hoặc nhiều Cache Types không đúng: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Vui lòng vào <a href=""%1>Quản lý Bộ nhớ đệm</a> và làm mới."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Chúng tôi không thể đồng bộ hóa một hoặc nhiều tệp phương tiện. Vui lòng tham khảo tệp log để biết thêm chi tiết."
"Synchronization of media storages has been completed.","Đồng bộ hóa bộ nhớ phương tiện đã hoàn tất."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Máy chủ web của bạn bị thiết lập không đúng và cho phép truy cập trái phép vào những tệp nhạy cảm."
"System Messages:","Hệ thống tin nhắn:"
"Critical System Messages","Hệ thống tin nhắn quan trọng"
"Major System Messages","Hệ thống tin nhắn chính"
"System messages","Hệ thống tin nhắn"
"Close","Đóng lại"
"See All (","Xem Tất cả ("
" unread)"," chưa đọc)"
"System Messages","System Messages"
"Show Toolbar","Hiển thi thanh công cụ"
"Show List","Hiển thị Danh Sách"
"Use HTTPS to Get Feed","Dùng HTTPS Để Lấy Nguồn Cấp Dữ Liệu Feed"
"Update Frequency","Tần Suất Nâng Cấp"
"Last Update","Lần Nâng Cấp Cuối"
"Severity","Mức Độ Nghiêm Trọng"
"Date Added","Ngày Được Thêm"
"Message","Tin nhắn"
"Actions","Thao tác"
"Manage Shopping Cart","Quản lý giỏ hàng"
"Create Order","Tạo đơn hàng"
"Back","Trở lại"
"Add Products","Thêm sản phẩm"
"Update Items and Quantities","Cập nhật sản phẩm và số lượng"
"Are you sure you want to clear your cart?","Bạn có chắc chắn muốn xóa giỏ hàng?"
"Clear my shopping cart","Xóa giỏ hàng"
"Add selections to my cart","Thêm sản phẩm đã chọn vào giỏ hàng"
"Cancel","Hủy bỏ"
"Shopping Cart for %1 in %2","Shopping Cart for %1 in %2"
"Select products you want to buy","Chọn sản phẩm bạn muốn mua"
"Product","Sản phẩm"
"Price","Giá"
"Quantity","Số lượng"
"Products in the Comparison List (%1)","So sánh sản phẩm (%1)"
"Last ordered items (%1)","Last ordered items (%1)"
"Products","Các sản phẩm"
"ID","ID"
"SKU","MÃ SẢN PHẨM"
"Recently Compared Products (%1)","Recently Compared Products (%1)"
"Recently Viewed Products (%1)","Recently Viewed Products (%1)"
"Add to Shopping Cart by SKU","Add to Shopping Cart by SKU"
"Add to Shopping Cart","Add to Shopping Cart"
"Wish List (%1)","Wish List (%1)"
"Apply","Áp dụng"
"Configure","Cấu hình"
"Add to Order by SKU","Add to Order by SKU"
"Add to Order","Add to Order"
"Add Products to Order","Add Products to Order"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>"
"Remove All","Remove All"
"Only %1%2%3 left in stock","Only %1%2%3 left in stock"
"You can buy up to %1 of these per purchase.","You can buy up to %1 of these per purchase."
"You must buy at least %1 of these per purchase.","You must buy at least %1 of these per purchase."
"Specify the product's options.","Specify the product's options."
"Alert me when this item is available.","Alert me when this item is available."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"Shopping cart management is disabled for this customer.","Shopping cart management is disabled for this customer."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
"Customers","Khách hàng"
"Shopping Cart","Giỏ mua hàng"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"You do not have access to this.","You do not have access to this."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again."
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again."
"An error has occurred. See error log for details.","An error has occurred. See error log for details."
"You cannot configure a product.","You cannot configure a product."
"You removed the items.","You removed the items."
"You removed the item.","You removed the item."
"You added %1 to your shopping cart.","Bạn đã thêm %1 vào giỏ mua hàng của bạn."
"You cannot add a product.","You cannot add a product."
"Order by SKU","Order by SKU"
"The SKU was not found in the catalog.","Mã sản phẩm không được tìm thấy trong danh mục."
"Availability: Out of stock.","Availability: Out of stock."
"We don't have as many of these as you want.","Chúng tôi không có đủ số lượng cho sản phẩm bạn muốn."
"You can't add this many to your cart.","Bạn không thể thêm số lượng sản phẩm này vào giỏ hàng."
"You need to choose options for your item.","Bạn cần chọn tùy chọn cho sản phẩm của bạn."
"We can't add the item to your cart.","Chúng tôi không thể thêm sản phẩm vào giỏ hàng."
"Please enter an actual number in the ""Qty"" field.","Please enter an actual number in the ""Qty"" field."
"This product is assigned to another website.","This product is assigned to another website."
"You can add only enabled products.","You can add only enabled products."
"You cannot upload this file.","You cannot upload this file."
"The file is empty.","The file is empty."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU."
"You have not entered a product SKU.","You have not entered a product SKU."
"We can't add a product to cart by id ""%1"".","We can't add a product to cart by id ""%1""."
"Something went wrong while reordering this product.","Something went wrong while reordering this product."
"We can't find this wish list.","Chúng tôi không tìm thấy danh sách cần mua này."
"You added %1 product to your shopping cart.","You added %1 product to your shopping cart."
"You added %1 products to your shopping cart.","You added %1 products to your shopping cart."
"%1 product requires your attention.","%1 product requires your attention."
"%1 products require your attention.","%1 products require your attention."
"Yes, for Specified Customer Groups","Yeah, cho các nhóm khách hàng được chỉ định"
"Yes, for Everyone","Vâng, cho mọi người"
"No","Không"
"The file is corrupt and can't be used.","The file is corrupt and can't be used."
"Please upload the file in .csv format.","Please upload the file in .csv format."
"%1 item(s) need your attention.","%1 item(s) need your attention."
"Apply Coupon Code","Dùng mã khuyến mãi"
"Remove Coupon Code","Bỏ mã khuyến mãi"
"Remove","Loại bỏ"
"The coupon code ""%1"" is not valid.","Mã giảm giá ""%1"" không hợp lệ."
"Shopping Cart Items","Giỏ hàng sản phẩm"
"Qty","Số lượng"
"Subtotal","Tổng phụ"
"Discount","Chiết khấu"
"Row Subtotal","Tổng theo hàng"
"Action","Thao tác"
"No ordered items","Không có sản phẩm nào được đặt"
"Total %1 product(s)","Tổng số sản phẩm %1"
"Subtotal:","Tổng phụ:"
"Please select","Vui lòng chọn"
"Move to Wish List","Chuyển đến Danh sách mong muốn"
"No item specified.","Không xác nhận sản phẩm."
"Are you sure you want to remove this item?","Bạn có chắc rằng bạn muốn xóa sản phẩm này?"
"SKU number","SKU number"
"Upload File","Tải lên tập tin"
"Your csv file must include ""sku"" and ""qty"" columns.","Your csv file must include ""sku"" and ""qty"" columns."
"Reset","Thiết lập lại"
"SKU: ","SKU: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Only <span id=""%1_max_allowed"">%2</span> in stock"
"Item","Sản phẩm"
"See price before order confirmation.","Xem giá trước khi xác nhận đơn hàng."
"What's this?","Đây là gì?"
"Incl. Tax","Đã bao gồm thuế"
"Excl. Tax","Chưa bao gồm thuế"
"Edit item parameters","Sửa thông số sản phẩm"
"Edit","Chỉnh sửa"
"Remove item","Xóa sản phẩm"
"Products Requiring Attention","Products Requiring Attention"
"Add to Cart","Thêm vào giỏ hàng"
"Sku","Mã sản phẩm"
"File","Tệp"
"File extensions allowed: .csv","File extensions allowed: .csv"
"Add Row","Add Row"
"Remove Row","Remove Row"
"Add Products By SKU","Thêm các sản phẩm bằng mã sản phẩm"
"Shopping Cart Management","Shopping Cart Management"
"View Shopping Cart","View Shopping Cart"
"View and modify Shopping Cart","View and modify Shopping Cart"
"Order by SKU Settings","Order by SKU Settings"
"Enable Order by SKU on My Account in Storefront","Enable Order by SKU on My Account in Storefront"
"Customer Groups","Nhóm khách hàng"
"Apply Coupon","Áp dụng các phiếu giảm giá"
"Order by SKU Description","Order by SKU Description"
"Display a Link to Loading a Spreadsheet","Hiển thị Đường Dẫn đến Tải một Bảng Tính"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget"
"Link Text","Đường dẫn dạng ký tự chữ"
"The text of the link to the My Account &gt; Order by SKU page","Ký tự chữ của đường link dẫn đến Tài Khoản Của Tôi và Đơn Hàng bằng trang SKU"
"Load a list of SKUs","Tải danh sách các mã SKU"
"Order by SKU Template","Order by SKU Template"
"Please correct the data sent.","Xin vui lòng sửa các dữ liệu được gửi."
"Entity type model '%1' is not found","Mô hình thực thể loại '%1' không được tìm thấy"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Loại thực thể mẫu phải là ví dụ của \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Không có sẵn loại sản phẩm để xuất khẩu"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Quy tắc cho giảm giá"
"Index sales rule","Đánh chỉ mục Sales Rule"
"Related Search Terms","Cụm từ tìm kiếm có liên quan"
"Add New Search Term","Thêm cụm từ tìm kiếm mới"
"button_label","button_label"
"Missing search engine parameter.","Missing search engine parameter."
"Successful! Test again?","Thành công! Kiểm tra một lần nữa?"
"Connection failed! Test again?","Kết nối thất bại! Kiểm tra một lần nữa?"
"Enable Search Recommendations","Enable Search Recommendations"
"When you enable this option your site may slow down.","Khi bạn kích hoạt tùy chọn này trang web của bạn có thể bị chậm."
"Search Recommendations Count","Search Recommendations Count"
"Show Results Count for Each Recommendation","Show Results Count for Each Recommendation"
"Enable Search Suggestions","Cho phép đề xuất tìm kiếm"
"Search Suggestions Count","Tính đề nghị Tìm kiếm"
"Show Results Count for Each Suggestion","Hiển thị kết quả tính cho từng đề nghị"
"Related search terms","Cụm từ tìm kiếm có liên quan"
"Did you mean","Ý bạn là"
"ID","ID"
"Search Query","Truy vấn tìm kiếm"
"Store","Cửa hàng"
"Results","Kết quả"
"Uses","Số Lần Sử Dụng"
"Redirect URL","Chuyển hướng URL"
"Suggested Term","Từ gợi ý"
"Yes","Có"
"No","Không"
"Action","Thao tác"
"Edit","Chỉnh sửa"
"RPC call failed, connection timed out after %time_out.","RPC kết nối không thành công, kết nối bị ngắt quãng sau khi %time_out."
"Message has been rejected: %1","Tin nhắn đã bị từ chối: %1"
"Error while checking if topic is synchronous","Error while checking if topic is synchronous"
"Subscription status","Tình trạng đăng ký"
"Sorry, there has been an error processing your request. Please try again later.","Xin lỗi, đã có một lỗi xử lý yêu cầu của bạn. Xin vui lòng thử lại sau."
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again."
"Cron settings can't be saved","Cron settings can't be saved"
"There was an error save new configuration value.","Đã có lỗi lưu giá trị cấu hình mới."
"Please select an industry.","Please select an industry."
"--Please Select--","--Vui lòng chọn--"
"Command ""%1"" was not found.","Command ""%1"" was not found."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again."
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
"These arguments can't be empty ""%1""","These arguments can't be empty ""%1"""
"Cannot find predefined integration user!","Không thể tìm thấy người dùng được xác định trước hội nhập!"
"File is not ready yet.","File is not ready yet."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later."
"Failed to synchronize data to the Magento Business Intelligence service. ","Failed to synchronize data to the Magento Business Intelligence service. "
"Retry Synchronization","Retry Synchronization"
"TestMessage","Kiểm tra tin nhắn"
"Apps and Games","Ứng dụng và trò chơi"
"Athletic/Sporting Goods","Thể thao/thể thao hàng hoá"
"Art and Design","Nghệ thuật và thiết kế"
"Advanced Reporting","Advanced Reporting"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data."
"Go to Advanced Reporting","Go to Advanced Reporting"
"Analytics","Phân tích"
"API","API"
"Configuration","Cấu hình"
"Business Intelligence","Business Intelligence"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
terms and conditions</a>."
"Advanced Reporting Service","Advanced Reporting Service"
"Time of day to send data","Time of day to send data"
"Industry Data","Industry Data"
"Industry","Industry"
"In order to personalize your Advanced Reporting experience, please select your industry.","In order to personalize your Advanced Reporting experience, please select your industry."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Get more insights from Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
becoming more data driven.</br> Learn more about <a target=""_blank""
href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
becoming more data driven.</br> Learn more about <a target=""_blank""
href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Auto Parts"
"Baby/Children’s Apparel, Gear and Toys","Baby/Children’s Apparel, Gear and Toys"
"Beauty and Cosmetics","Beauty and Cosmetics"
"Books, Music and Magazines","Books, Music and Magazines"
"Crafts and Stationery","Crafts and Stationery"
"Consumer Electronics","Consumer Electronics"
"Deal Site","Deal Site"
"Fashion Apparel and Accessories","Fashion Apparel and Accessories"
"Food, Beverage and Grocery","Food, Beverage and Grocery"
"Home Goods and Furniture","Home Goods and Furniture"
"Home Improvement","Home Improvement"
"Jewelry and Watches","Jewelry and Watches"
"Mass Merchant","Mass Merchant"
"Office Supplies","Office Supplies"
"Outdoor and Camping Gear","Outdoor and Camping Gear"
"Pet Goods","Pet Goods"
"Pharma and Medical Devices","Pharma and Medical Devices"
"Technology B2B","Technology B2B"
"Other","Other"
"Back","Trở lại"
"Done","Đã thực hiện"
"Retry","Thử lại"
"'Action Details - #' .","'Hành động thông tin chi tiết - #'."
"%1 item(s) have been scheduled for update.""","%1 mã (s) đã được lên lịch cập nhật."""
"Bulk Actions Log","Hàng loạt hành động đăng nhập"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 mã (s) hiện đang được cập nhật."
"Task ""%1"": ","Nhiệm vụ ""%1"": "
"%1 item(s) have been scheduled for update.","%1 mã (s) đã được lên lịch cập nhật."
"%1 item(s) have been successfully updated.","%1 mã (s) đã được cập nhật thành công."
"%1 item(s) failed to update","%1 thất bại để cập nhật mã (s)"
"Details","Chi tiết"
"View Details","Xem chi tiết"
"Dismiss","Loại bỏ"
"Pending, in queue...","Đang chờ xử lý, trong hàng đợi..."
"%1 items selected for mass update","%1 cập nhật các mục đã được chọn"
", %1 successfully updated",", %1 cập nhật thành công"
", %1 failed to update",", %1 cập nhật thất bại"
"System Messages","System Messages"
"Something went wrong.","Đã xảy ra lỗi."
"Action Log","Nhật ký hành động"
"Report","Report"
"Bulk Actions","Hàng loạt hành động"
"Action Logs","Action Logs"
"Days Saved in Log","Ngày này được lưu trong nhật ký"
"Description of Operation","Mô tả hoạt động"
"Summary","Tóm tắt"
"Start Time","Thời Gian Bắt Đầu"
"Items to Retry","Items to Retry"
"To retry, select the items and click “Retry”.","Để thử lại, chọn các mục và nhấp vào ""Thử lại""."
"Items That Can’t Be Updated.","Items That Can’t Be Updated."
"ID","ID"
"Status","Trạng thái"
"Action","Action"
"Meta Information","Thông tin meta"
"Error","Lỗi"
"Dismiss All Completed Tasks","Bỏ qua tất cả hoàn thành nhiệm vụ"
"Action Details - #","Hành động thông tin chi tiết - #"
"Number of Records Affected","Số lượng hồ sơ bị ảnh hưởng"
"The role wasn't found for the user. Verify the role and try again.","The role wasn't found for the user. Verify the role and try again."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Có vấn đề xảy ra khi dịch danh sách nguồn được cho phép. Bạn có thể tìm thấy nhiều thông tin trong exceptions log."
"You created the order.","Bạn đã đặt hàng."
"Order saving error: %1","Lỗi lưu đơn hàng: %1"
"Please choose a payment method.","Chọn một phương thức thanh toán."
"We can't process your order right now. Please try again later.","Chúng tôi không thể xử lý đơn hàng của bạn ngay bây giờ. Xin vui lòng thử lại sau."
"An error occurred on the server. Please try to place the order again.","Lỗi xuất hiện trên máy chủ. Hãy thử đặt hàng lại một lần nữa."
"Credit Card: xxxx-%1","Thẻ tín dụng: xxxx-%1"
"amount %1","số tiền %1"
"failed.","thất bại."
"successful.","thành công."
"Authorize.Net Transaction ID %1.","Authorize.Net ID giao dịch %1."
"authorize","ủy quyền"
"authorize and capture","Ủy quyền và chấp nhận giao dịch"
"capture","xác nhận giao dịch"
"refund","hoàn trả"
"void","hủy"
"Gateway error: %1","Lỗi cổng thanh toán: %1"
"Something went wrong in the payment gateway.","Có vấn để ở cổng thanh toán."
"Invalid amount for capture.","Số tiền không đúng cho xác nhận giao dịch."
"Payment capturing error.","Lỗi xác nhận giao dịch."
"Invalid transaction ID.","Giao dịch ID không đúng."
"Payment voiding error.","Lỗi hủy thanh toán."
"Invalid amount for refund.","Số tiền hoàn trả không đúng."
"Payment refunding error.","Lỗi thanh toán hoàn trả."
"The transaction was declined because the response hash validation failed.","Giao dịch bị từ chối bởi vì chuỗi xác nhận thất bại."
"This payment didn't work out because we can't find this order.","Thanh toán không được thực hiện do không tìm thấy đơn hàng tương ứng."
"There was a payment authorization error.","Lỗi ủy quyền thanh toán."
"Please enter a transaction ID to authorize this payment.","Vui lòng điền ID giao dịch để ủy quyền thanh toán."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Số tiền thanh toán và tiền đơn hàng khác nhau. Hãy kiểm tra lại."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 has been approved. Amount %2. Transaction status is ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3."
"Authorize Only","Chỉ ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"Unable to get transaction details. Try again later.","Không thể nhận được chi tiết giao dịch. Thử lại lần nữa."
"Electronic payments save the trees.","Electronic payments save the trees."
"Credit Card Type","Loại thẻ tín dụng"
"Please Select","Vui lòng chọn"
"Credit Card Number","Số thẻ tín dụng"
"Expiration Date","Ngày hết hạn"
"Card Verification Number","Số xác minh thẻ"
"Fraud Detection ","Phát hiện gian lận "
"FDS Filter Action","Hoạt động lọc FDS"
"AVS Response","Phản hồi AVS Response"
"Card Code Response","Phản hồi mã thẻ"
"CAVV Response","Phản hồi CAVV"
"Fraud Filters","Bộ lọc gian lận"
"Place Order","Đặt hàng"
"Sorry, but something went wrong. Please contact the seller.","Xin lỗi, nhưng có gì đó đã đi sai. Xin vui lòng liên hệ với dịch vụ khách hàng của PayPal."
"Authorize.net Direct Post","Phương Thức Thanh Toán Direct Post của Authorize.net"
"Enabled","Cho phép"
"Payment Action","Hành động thanh toán"
"Title","Tiêu đề"
"API Login ID","ID Đăng Nhập qua API"
"Transaction Key","Mã Giao Dịch"
"Merchant MD5","Mã Khóa Merchant MD5"
"New Order Status","Trạng thái đơn hàng mới"
"Test Mode","Chế độ dùng thử"
"Gateway URL","Đường Dẫn URL của Cổng Thanh Toán"
"Transaction Details URL","Đường Dẫn đến Chi Tiết Giao Dịch"
"Accepted Currency","Tiền Tệ Được Chấp Nhận"
"Debug","Sửa Lỗi"
"Email Customer","Địa Chỉ Email Khách Hàng"
"Merchant's Email","Địa Chỉ Email Người Bán"
"Credit Card Types","Các Loại Thẻ Tín Dụng"
"Credit Card Verification","Xác Minh Thẻ Tín Dụng"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Minimum Order Total","Giá Trị Đơn Hàng Tối Thiểu"
"Maximum Order Total","Giá Trị Đơn Hàng Tối Đa"
"Sort Order","Thứ tự sắp xếp"
"Cannot place order.","Không thể đặt hàng."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Không thể đặt hàng. Xin vui lòng thử lại sau."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
"There was an error while trying to process the request.","There was an error while trying to process the request."
"This transaction cannot be refunded with its current status.","This transaction cannot be refunded with its current status."
"Something went wrong in the payment gateway.","Có vấn để ở cổng thanh toán."
"The authenticity of the gateway response could not be verified.","The authenticity of the gateway response could not be verified."
"Authorize Only","Chỉ ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Number","Số thẻ tín dụng"
"Expiration Date","Ngày hết hạn"
"Card Verification Number","Số xác minh thẻ"
"Authorize.Net","Authorize.Net"
"Enabled","Cho phép"
"Basic Authorize.Net Settings","Basic Authorize.Net Settings"
"Title","Tiêu đề"
"Environment","Môi Trường"
"Payment Action","Hành động thanh toán"
"API Login ID","ID Đăng Nhập qua API"
"Transaction Key","Mã Giao Dịch"
"Public Client Key","Public Client Key"
"Signature Key","Signature Key"
"Merchant MD5 (deprecated)","Merchant MD5 (deprecated)"
"Advanced Authorize.Net Settings","Advanced Authorize.Net Settings"
"Accepted Currency","Tiền Tệ Được Chấp Nhận"
"Debug","Sửa Lỗi"
"Email Customer","Địa Chỉ Email Khách Hàng"
"Enable Credit Card Verification Field","Enable Credit Card Verification Field"
"Credit Card Types","Các Loại Thẻ Tín Dụng"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Minimum Order Total","Giá Trị Đơn Hàng Tối Thiểu"
"Maximum Order Total","Giá Trị Đơn Hàng Tối Đa"
"Sort Order","Thứ tự sắp xếp"
"Invalid request to gateway.","Invalid request to gateway."
"Invalid gateway credentials.","Invalid gateway credentials."
"Transaction has been declined. Please try again later.","Giao dịch đã bị từ chối, vui lòng thử lại sau."
"Close","Đóng lại"
"options","tùy chọn"
"Select all","Chọn tất cả"
"Deselect all","Deselect all"
"Cancel","Hủy bỏ"
"Done","Đã thực hiện"
"We couldn't find any records.","We couldn't find any records."
"Show","Show"
"per page","per page"
"Please Select","Vui lòng chọn"
"%s of %s selected","%s of %s selected"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","B2B Features"
"Invalid Form Key. Please refresh the page.","Form Key không hợp lệ. Xin vui lòng làm mới trang."
"You entered an invalid Secret Key. Please refresh the page.","Bạn điền không đúng khóa bí mật. Vui lòng tải lại trang."
"Invalid security or form key. Please refresh the page.","Invalid security or form key. Please refresh the page."
